Model,TP,FN,FP,TN
M4-A3-B2-C11,934,66,278,722
M10-A11-B11-C8,464,536,200,800
M3-A3-B9-C10,233,767,137,863
M1-A4-B6-C3,985,15,935,65
M3-A6-B1-C2,819,181,311,689
M10-A8-B3-C9,723,277,154,846
M11-A6-B5-C11,999,1,980,20
M9-A1-B4-C11,882,118,534,466
M13-A3-B3-C9,830,170,20,980
M2-A4-B10-C7,924,76,870,130
M3-A2-B4-C9,834,166,801,199
M9-A1-B1-C2,704,296,558,442
M12-A4-B8-C11,882,118,707,293
M1-A7-B5-C5,795,205,741,259
M5-A1-B5-C7,867,133,460,540
M9-A5-B4-C10,963,37,378,622
M10-A8-B5-C10,326,674,238,762
M9-A4-B5-C10,938,62,843,157
M1-A2-B7-C5,522,478,147,853
M3-A11-B8-C5,910,90,661,339
M11-A2-B1-C12,690,310,105,895
M1-A1-B6-C9,734,266,230,770
M4-A11-B8-C1,627,373,595,405
M3-A5-B4-C2,946,54,936,64
M7-A2-B2-C9,984,16,971,29
M3-A5-B9-C7,231,769,113,887
M9-A8-B1-C3,934,66,840,160
M6-A6-B11-C9,89,911,50,950
M11-A9-B7-C6,627,373,617,383
M1-A4-B11-C8,932,68,377,623
M4-A1-B10-C7,926,74,859,141
M12-A3-B4-C11,905,95,764,236
M4-A11-B3-C10,794,206,700,300
M6-A2-B11-C1,637,363,72,928
M1-A4-B2-C5,367,633,202,798
M9-A9-B7-C2,691,309,225,775
M13-A10-B3-C6,989,11,787,213
M2-A4-B5-C3,980,20,523,477
M4-A5-B11-C9,981,19,788,212
M9-A4-B1-C11,966,34,234,766
M13-A8-B3-C1,598,402,513,487
M5-A8-B1-C4,118,882,2,998
M10-A5-B11-C10,966,34,908,92
M11-A11-B2-C2,832,168,753,247
M8-A5-B6-C12,816,184,407,593
M11-A4-B9-C12,810,190,745,255
M5-A4-B8-C2,701,299,555,445
M13-A7-B8-C2,955,45,893,107
M8-A4-B7-C8,845,155,744,256
M13-A5-B11-C8,825,175,160,840
M8-A8-B6-C10,978,22,969,31
M12-A6-B9-C10,966,34,869,131
M12-A7-B4-C10,761,239,392,608
M10-A1-B8-C12,395,605,292,708
M10-A8-B8-C10,401,599,312,688
M7-A11-B1-C11,522,478,393,607
M12-A8-B11-C12,810,190,504,496
M2-A5-B1-C11,294,706,78,922
M7-A2-B9-C2,994,6,317,683
M11-A2-B2-C11,886,114,596,404
M9-A8-B5-C3,965,35,720,280
M5-A11-B3-C5,782,218,395,605
M11-A8-B8-C9,837,163,476,524
M8-A8-B8-C3,546,454,400,600
M1-A11-B5-C10,933,67,592,408
M4-A4-B4-C9,681,319,455,545
M7-A3-B9-C6,911,89,742,258
M1-A9-B2-C5,581,419,287,713
M3-A9-B10-C4,947,53,813,187
M1-A2-B11-C11,964,36,706,294
M7-A9-B11-C4,717,283,99,901
M10-A9-B9-C11,925,75,836,164
M8-A9-B2-C4,940,60,824,176
M1-A11-B8-C2,858,142,834,166
M7-A3-B7-C9,953,47,938,62
M8-A1-B1-C5,720,280,297,703
M1-A10-B6-C1,819,181,195,805
M11-A3-B2-C8,289,711,218,782
M7-A8-B3-C1,888,112,743,257
M9-A7-B5-C5,498,502,297,703
M10-A2-B2-C3,539,461,271,729
M12-A4-B7-C8,481,519,477,523
M5-A6-B5-C10,978,22,585,415
M1-A1-B11-C7,486,514,384,616
M3-A5-B10-C5,413,587,187,813
M1-A7-B11-C3,268,732,5,995
M5-A11-B7-C3,603,397,112,888
M3-A9-B11-C7,513,487,510,490
M4-A4-B10-C8,910,90,816,184
M11-A4-B5-C7,820,180,272,728
M3-A11-B11-C3,389,611,326,674
M2-A4-B8-C12,730,270,653,347
M4-A5-B10-C12,969,31,313,687
M12-A11-B8-C7,984,16,721,279
M12-A6-B5-C6,874,126,256,744
M10-A11-B4-C5,997,3,786,214
M12-A4-B2-C6,345,655,268,732
M12-A2-B9-C8,895,105,841,159
M9-A7-B8-C4,731,269,513,487
M3-A6-B4-C10,886,114,704,296
M8-A8-B5-C1,764,236,223,777
M8-A11-B4-C10,975,25,879,121
M4-A6-B5-C1,854,146,618,382
M12-A5-B7-C10,973,27,956,44
M11-A7-B7-C1,942,58,588,412
M12-A11-B10-C1,694,306,147,853
M4-A10-B5-C2,887,113,825,175
M6-A6-B2-C4,827,173,240,760
M10-A4-B8-C1,815,185,668,332
M6-A1-B6-C11,446,554,258,742
M12-A6-B9-C11,901,99,680,320
M12-A9-B5-C3,735,265,170,830
M9-A10-B1-C7,935,65,871,129
M4-A11-B7-C2,945,55,835,165
M5-A9-B8-C7,916,84,68,932
M10-A1-B1-C4,871,129,748,252
M6-A1-B3-C8,384,616,34,966
M1-A2-B5-C6,863,137,736,264
M8-A7-B10-C9,377,623,328,672
M7-A5-B11-C5,727,273,524,476
M1-A7-B1-C10,830,170,477,523
M8-A6-B8-C10,989,11,726,274
M2-A10-B4-C1,247,753,141,859
M3-A3-B6-C12,558,442,493,507
M4-A3-B3-C2,874,126,523,477
M3-A3-B5-C4,744,256,624,376
M3-A11-B6-C11,798,202,720,280
M12-A7-B11-C7,726,274,97,903
M13-A6-B8-C2,647,353,184,816
M7-A1-B1-C4,373,627,82,918
M1-A7-B1-C4,805,195,739,261
M13-A4-B5-C5,998,2,998,2
M8-A9-B1-C8,769,231,745,255
M13-A4-B1-C3,569,431,501,499
M6-A5-B6-C7,714,286,182,818
M5-A1-B9-C1,987,13,124,876
M5-A8-B7-C11,966,34,354,646
M7-A1-B3-C7,445,555,442,558
M9-A8-B10-C12,676,324,230,770
M1-A8-B4-C4,947,53,835,165
M11-A4-B6-C12,898,102,683,317
M5-A8-B3-C11,551,449,271,729
M10-A8-B11-C10,674,326,427,573
M12-A11-B6-C6,442,558,360,640
M2-A9-B7-C8,917,83,394,606
M5-A5-B8-C10,951,49,630,370
M10-A6-B11-C2,587,413,36,964
M12-A4-B5-C6,994,6,983,17
M2-A4-B2-C12,989,11,821,179
M8-A5-B10-C9,911,89,877,123
M11-A3-B10-C7,888,112,401,599
M4-A2-B9-C3,882,118,708,292
M11-A1-B6-C2,878,122,831,169
M8-A10-B5-C12,956,44,880,120
M8-A4-B4-C5,947,53,919,81
M5-A2-B4-C8,912,88,779,221
M5-A9-B10-C12,720,280,283,717
M9-A9-B1-C7,943,57,933,67
M11-A6-B1-C1,770,230,756,244
M13-A2-B1-C3,828,172,522,478
M5-A3-B10-C12,964,36,963,37
M7-A9-B2-C8,994,6,989,11
M13-A3-B1-C3,983,17,456,544
M3-A8-B9-C11,934,66,710,290
M12-A3-B11-C1,380,620,380,620
M13-A3-B8-C10,837,163,493,507
M1-A10-B10-C7,969,31,961,39
M12-A3-B1-C3,960,40,110,890
M2-A6-B5-C4,580,420,531,469
M3-A3-B9-C11,700,300,94,906
M2-A7-B8-C9,750,250,719,281
M12-A6-B8-C5,698,302,617,383
M4-A10-B10-C2,809,191,393,607
M1-A6-B5-C11,989,11,971,29
M1-A4-B5-C10,443,557,251,749
M7-A5-B2-C3,829,171,480,520
M1-A9-B8-C4,575,425,338,662
M2-A7-B1-C7,563,437,484,516
M8-A11-B9-C8,799,201,459,541
M8-A10-B3-C1,944,56,629,371
M9-A3-B5-C5,760,240,243,757
M6-A4-B2-C12,561,439,72,928
M3-A10-B2-C3,931,69,925,75
M6-A7-B9-C12,412,588,263,737
M4-A4-B11-C2,117,883,113,887
M9-A1-B8-C4,246,754,138,862
M8-A9-B5-C1,984,16,818,182
M8-A11-B1-C2,800,200,651,349
M2-A7-B10-C5,843,157,369,631
M6-A4-B10-C8,720,280,632,368
M4-A1-B8-C6,511,489,98,902
M5-A8-B6-C2,797,203,597,403
M13-A2-B4-C10,586,414,371,629
M1-A2-B5-C9,877,123,636,364
M8-A8-B6-C9,930,70,857,143
M9-A7-B6-C3,794,206,260,740
M5-A9-B11-C7,819,181,702,298
M5-A8-B11-C1,869,131,240,760
M3-A3-B9-C3,652,348,537,463
M6-A1-B3-C5,858,142,735,265
M9-A9-B3-C4,995,5,530,470
M6-A8-B5-C2,435,565,291,709
M10-A10-B8-C8,985,15,943,57
M5-A9-B4-C12,996,4,153,847
M10-A11-B3-C5,502,498,372,628
M5-A1-B7-C11,737,263,83,917
M12-A5-B11-C12,532,468,269,731
M6-A1-B2-C5,621,379,303,697
M13-A8-B4-C5,836,164,802,198
M9-A11-B11-C3,575,425,144,856
M10-A2-B11-C9,620,380,550,450
M1-A2-B9-C2,988,12,961,39
M9-A2-B2-C11,962,38,179,821
M13-A4-B3-C7,973,27,486,514
M2-A10-B7-C11,625,375,121,879
M3-A1-B11-C7,554,446,251,749
M12-A8-B5-C5,922,78,668,332
M2-A9-B4-C7,220,780,95,905
M8-A3-B2-C3,846,154,626,374
M2-A11-B5-C11,778,222,492,508
M5-A9-B9-C5,809,191,786,214
M1-A1-B3-C7,268,732,183,817
M1-A7-B1-C1,697,303,61,939
M5-A3-B6-C1,899,101,680,320
M11-A11-B10-C5,609,391,599,401
M2-A2-B11-C12,989,11,972,28
M10-A4-B1-C2,422,578,30,970
M7-A3-B5-C3,889,111,612,388
M11-A3-B10-C8,899,101,252,748
M7-A10-B2-C2,859,141,593,407
M1-A11-B2-C4,98,902,86,914
M5-A9-B3-C9,651,349,495,505
M11-A8-B9-C1,253,747,99,901
M12-A1-B3-C5,786,214,624,376
M3-A3-B3-C6,274,726,195,805
M13-A6-B2-C11,724,276,501,499
M12-A7-B10-C12,320,680,226,774
M2-A1-B9-C6,961,39,833,167
M13-A10-B3-C8,647,353,465,535
M8-A2-B2-C7,854,146,843,157
M4-A10-B6-C4,498,502,438,562
M9-A6-B6-C1,879,121,96,904
M12-A6-B10-C3,381,619,67,933
M12-A4-B3-C7,550,450,358,642
M13-A1-B5-C3,368,632,262,738
M5-A4-B6-C7,996,4,888,112
M3-A5-B4-C10,822,178,652,348
M7-A1-B5-C2,621,379,300,700
M1-A5-B4-C5,796,204,432,568
M9-A3-B10-C4,873,127,617,383
M3-A7-B1-C6,677,323,2,998
M12-A1-B10-C1,763,237,636,364
M12-A11-B2-C2,907,93,642,358
M5-A1-B6-C9,986,14,875,125
M11-A6-B8-C8,867,133,856,144
M7-A8-B4-C2,993,7,838,162
M8-A4-B2-C5,986,14,924,76
M12-A11-B8-C3,689,311,232,768
M1-A10-B7-C3,911,89,829,171
M7-A11-B4-C8,982,18,951,49
M9-A3-B9-C5,826,174,490,510
M4-A7-B3-C2,632,368,379,621
M1-A2-B9-C8,977,23,90,910
M10-A8-B10-C3,970,30,940,60
M2-A8-B7-C5,806,194,438,562
M10-A10-B9-C3,983,17,916,84
M5-A2-B8-C3,864,136,854,146
M12-A5-B11-C3,839,161,616,384
M3-A11-B2-C6,299,701,70,930
M7-A5-B8-C1,764,236,367,633
M1-A6-B3-C5,999,1,999,1
M6-A2-B8-C7,750,250,701,299
M4-A9-B2-C11,952,48,649,351
M11-A4-B7-C12,989,11,874,126
M5-A8-B8-C9,604,396,417,583
M5-A4-B1-C11,982,18,643,357
M10-A5-B1-C2,779,221,427,573
M13-A2-B6-C1,876,124,873,127
M4-A1-B3-C6,817,183,475,525
M10-A2-B9-C4,698,302,292,708
M13-A1-B3-C1,972,28,918,82
M9-A8-B3-C11,974,26,949,51
M9-A3-B1-C9,881,119,839,161
M1-A7-B4-C5,607,393,427,573
M13-A10-B2-C7,856,144,190,810
M10-A2-B7-C10,799,201,339,661
M13-A4-B1-C11,999,1,939,61
M11-A2-B4-C1,779,221,293,707
M12-A3-B11-C12,843,157,743,257
M4-A9-B8-C4,307,693,154,846
M12-A11-B3-C6,147,853,97,903
M1-A11-B11-C6,997,3,184,816
M12-A11-B11-C8,780,220,607,393
M12-A11-B3-C4,450,550,168,832
M4-A3-B8-C12,804,196,23,977
M7-A11-B5-C7,459,541,200,800
M9-A7-B1-C2,872,128,828,172
M5-A9-B1-C7,971,29,893,107
M12-A11-B1-C3,819,181,549,451
M13-A9-B1-C4,741,259,444,556
M2-A9-B5-C10,623,377,126,874
M4-A5-B1-C3,987,13,951,49
M3-A3-B1-C7,648,352,174,826
M4-A2-B2-C11,922,78,772,228
M8-A11-B9-C2,979,21,758,242
M6-A6-B10-C10,773,227,611,389
M8-A1-B2-C5,844,156,625,375
M10-A10-B1-C5,931,69,201,799
M1-A6-B6-C9,912,88,112,888
M3-A4-B11-C8,965,35,929,71
M3-A10-B11-C10,992,8,901,99
M4-A8-B7-C10,576,424,171,829
M3-A6-B10-C4,987,13,879,121
M7-A9-B11-C1,808,192,84,916
M7-A8-B6-C3,750,250,554,446
M4-A5-B6-C10,692,308,480,520
M6-A10-B8-C9,652,348,614,386
M2-A8-B4-C4,920,80,884,116
M13-A3-B11-C9,319,681,274,726
M5-A7-B8-C2,979,21,280,720
M4-A7-B4-C12,874,126,453,547
M1-A2-B3-C3,943,57,937,63
M5-A1-B1-C9,980,20,913,87
M6-A10-B7-C5,852,148,231,769
M2-A9-B1-C1,145,855,129,871
M5-A10-B2-C1,681,319,392,608
M12-A1-B6-C2,841,159,781,219
M11-A7-B3-C1,941,59,845,155
M11-A7-B1-C4,952,48,632,368
M3-A11-B11-C2,352,648,142,858
M1-A4-B5-C2,743,257,741,259
M9-A11-B6-C10,903,97,302,698
M9-A2-B11-C1,562,438,436,564
M6-A10-B9-C2,512,488,51,949
M1-A5-B5-C5,699,301,116,884
M10-A3-B1-C8,931,69,763,237
M6-A11-B3-C3,865,135,576,424
M6-A8-B4-C5,968,32,901,99
M11-A2-B8-C5,930,70,21,979
M7-A8-B8-C5,936,64,593,407
M8-A6-B8-C6,236,764,19,981
M3-A6-B9-C10,900,100,202,798
M8-A9-B3-C11,611,389,530,470
M1-A8-B3-C2,639,361,166,834
M3-A7-B4-C9,887,113,829,171
M12-A8-B2-C9,754,246,423,577
M12-A6-B9-C5,916,84,537,463
M2-A6-B3-C6,503,497,194,806
M9-A5-B11-C8,829,171,689,311
M6-A8-B11-C6,654,346,634,366
M5-A2-B9-C7,929,71,787,213
M12-A3-B2-C9,581,419,275,725
M13-A5-B2-C3,400,600,312,688
M1-A1-B11-C9,946,54,938,62
M6-A6-B4-C7,732,268,688,312
M12-A7-B5-C12,910,90,434,566
M3-A1-B4-C5,963,37,948,52
M11-A1-B2-C6,986,14,514,486
M11-A11-B10-C6,712,288,568,432
M7-A11-B1-C10,907,93,784,216
M11-A4-B4-C7,729,271,393,607
M1-A6-B6-C7,921,79,555,445
M3-A10-B5-C2,983,17,601,399
M10-A4-B5-C8,683,317,384,616
M6-A11-B2-C9,470,530,330,670
M3-A9-B2-C8,786,214,11,989
M3-A4-B10-C10,935,65,753,247
M11-A2-B2-C7,868,132,852,148
M4-A1-B7-C10,939,61,639,361
M13-A4-B5-C8,878,122,831,169
M1-A11-B9-C10,856,144,399,601
M9-A4-B5-C7,794,206,552,448
M5-A7-B8-C11,794,206,600,400
M12-A11-B5-C11,237,763,55,945
M6-A1-B4-C2,920,80,601,399
M6-A9-B6-C9,994,6,962,38
M8-A7-B9-C8,711,289,637,363
M12-A9-B6-C12,821,179,465,535
M12-A3-B9-C11,890,110,294,706
M5-A11-B1-C3,340,660,73,927
M7-A4-B5-C9,724,276,468,532
M11-A10-B7-C7,992,8,990,10
M10-A9-B2-C12,383,617,284,716
M10-A5-B8-C8,978,22,308,692
M3-A5-B2-C4,679,321,408,592
M5-A10-B11-C11,473,527,444,556
M9-A11-B8-C3,981,19,918,82
M5-A5-B10-C4,952,48,359,641
M11-A1-B3-C6,931,69,872,128
M4-A8-B6-C3,944,56,589,411
M2-A3-B1-C8,309,691,101,899
M5-A11-B11-C9,751,249,350,650
M2-A8-B7-C12,434,566,89,911
M5-A4-B1-C4,875,125,797,203
M2-A6-B4-C9,898,102,117,883
M13-A10-B6-C1,322,678,214,786
M5-A11-B7-C6,446,554,441,559
M12-A9-B11-C10,662,338,401,599
M10-A8-B8-C5,780,220,85,915
M10-A1-B6-C6,752,248,279,721
M13-A8-B1-C4,975,25,685,315
M8-A2-B9-C1,748,252,120,880
M6-A2-B6-C4,737,263,613,387
M1-A10-B10-C11,649,351,611,389
M1-A4-B4-C3,880,120,190,810
M2-A7-B2-C7,952,48,873,127
M10-A1-B8-C11,901,99,298,702
M12-A1-B1-C12,952,48,630,370
M9-A8-B5-C11,554,446,229,771
M12-A1-B3-C7,951,49,845,155
M7-A10-B2-C4,550,450,376,624
M9-A3-B7-C3,406,594,400,600
M13-A6-B9-C8,632,368,582,418
M10-A10-B8-C9,999,1,780,220
M5-A11-B10-C11,163,837,9,991
M13-A1-B5-C2,993,7,991,9
M2-A9-B2-C11,460,540,62,938
M5-A11-B9-C5,343,657,199,801
M2-A1-B8-C6,980,20,93,907
M10-A1-B7-C3,651,349,25,975
M13-A9-B8-C3,888,112,851,149
M11-A9-B7-C12,583,417,356,644
M4-A1-B6-C2,946,54,441,559
M3-A11-B3-C9,923,77,779,221
M10-A8-B11-C2,797,203,74,926
M6-A9-B4-C4,285,715,217,783
M5-A3-B7-C3,499,501,288,712
M4-A1-B2-C8,860,140,481,519
M12-A10-B9-C1,838,162,760,240
M10-A11-B5-C11,787,213,221,779
M5-A8-B5-C6,518,482,476,524
M1-A8-B5-C8,905,95,893,107
M13-A2-B11-C11,683,317,650,350
M11-A11-B8-C7,879,121,544,456
M9-A5-B8-C10,898,102,267,733
M7-A8-B1-C11,961,39,105,895
M7-A6-B3-C10,726,274,232,768
M6-A9-B1-C12,748,252,465,535
M1-A8-B9-C3,887,113,772,228
M9-A6-B1-C10,906,94,847,153
M2-A7-B5-C2,877,123,749,251
M10-A6-B4-C5,959,41,527,473
M4-A8-B1-C8,816,184,68,932
M8-A7-B4-C1,982,18,604,396
M6-A6-B5-C1,862,138,798,202
M7-A7-B5-C10,405,595,305,695
M6-A2-B6-C9,738,262,474,526
M5-A3-B4-C2,873,127,723,277
M12-A8-B7-C2,839,161,610,390
M12-A1-B2-C7,987,13,306,694
M2-A7-B4-C3,820,180,807,193
M3-A6-B10-C8,736,264,553,447
M3-A4-B5-C1,166,834,6,994
M8-A3-B11-C9,699,301,325,675
M1-A10-B4-C5,936,64,845,155
M11-A5-B3-C6,827,173,603,397
M6-A8-B10-C10,898,102,193,807
M13-A9-B4-C5,892,108,633,367
M12-A10-B2-C5,942,58,695,305
M5-A3-B4-C4,991,9,980,20
M7-A10-B5-C8,486,514,330,670
M5-A4-B1-C1,722,278,717,283
M3-A4-B5-C4,992,8,917,83
M1-A6-B1-C8,294,706,38,962
M3-A8-B1-C3,539,461,434,566
M8-A9-B2-C8,749,251,545,455
M5-A10-B3-C2,878,122,690,310
M13-A1-B9-C8,920,80,110,890
M6-A1-B6-C12,843,157,446,554
M13-A2-B1-C7,771,229,641,359
M11-A4-B9-C2,316,684,147,853
M8-A9-B7-C10,992,8,915,85
M11-A3-B5-C2,535,465,368,632
M12-A11-B5-C1,850,150,581,419
M9-A10-B8-C5,579,421,107,893
M8-A1-B11-C11,896,104,501,499
M5-A8-B3-C3,769,231,662,338
M12-A10-B3-C1,782,218,331,669
M8-A11-B2-C3,857,143,759,241
M6-A9-B11-C3,661,339,408,592
M4-A3-B11-C6,729,271,558,442
M6-A9-B11-C7,502,498,209,791
M2-A5-B10-C12,353,647,210,790
M12-A6-B8-C4,988,12,912,88
M13-A5-B4-C10,894,106,674,326
M5-A3-B2-C7,245,755,202,798
M11-A6-B4-C6,964,36,888,112
M2-A5-B9-C1,887,113,757,243
M9-A1-B8-C6,580,420,212,788
M8-A2-B5-C11,989,11,616,384
M12-A1-B1-C3,619,381,35,965
M12-A1-B11-C11,338,662,130,870
M12-A2-B6-C12,984,16,761,239
M3-A7-B3-C2,863,137,574,426
M3-A4-B5-C10,928,72,807,193
M5-A8-B5-C1,176,824,91,909
M7-A9-B5-C10,996,4,439,561
M2-A8-B7-C11,492,508,475,525
M8-A11-B1-C9,584,416,140,860
M13-A7-B1-C8,343,657,116,884
M12-A8-B3-C5,643,357,466,534
M6-A11-B3-C5,796,204,366,634
M5-A1-B3-C3,892,108,772,228
M3-A4-B6-C9,254,746,86,914
M7-A9-B11-C12,850,150,815,185
M2-A9-B10-C1,682,318,207,793
M3-A3-B10-C2,374,626,144,856
M1-A10-B7-C2,871,129,344,656
M9-A6-B8-C6,547,453,182,818
M3-A10-B7-C4,932,68,307,693
M8-A8-B7-C10,981,19,906,94
M7-A2-B5-C6,890,110,141,859
M4-A5-B3-C11,457,543,391,609
M9-A1-B3-C8,208,792,66,934
M1-A1-B4-C9,793,207,712,288
M1-A11-B6-C11,466,534,460,540
M11-A8-B9-C11,864,136,505,495
M2-A1-B4-C4,857,143,634,366
M8-A6-B11-C5,940,60,782,218
M12-A3-B8-C6,722,278,614,386
M10-A1-B1-C8,953,47,789,211
M9-A10-B1-C1,914,86,852,148
M9-A1-B3-C2,707,293,378,622
M11-A1-B8-C11,930,70,665,335
M2-A5-B9-C7,472,528,120,880
M5-A1-B3-C7,816,184,513,487
M3-A3-B3-C12,956,44,699,301
M10-A9-B6-C12,909,91,365,635
M7-A10-B8-C9,861,139,774,226
M9-A7-B9-C12,783,217,615,385
M12-A1-B8-C6,868,132,746,254
M11-A7-B2-C1,873,127,18,982
M7-A9-B7-C5,839,161,735,265
M3-A3-B5-C11,551,449,474,526
M7-A9-B10-C11,956,44,442,558
M8-A3-B7-C9,730,270,685,315
M8-A11-B2-C4,775,225,505,495
M3-A4-B1-C7,569,431,208,792
M10-A2-B4-C8,996,4,988,12
M9-A6-B7-C8,986,14,949,51
M3-A1-B11-C5,977,23,969,31
M2-A7-B9-C2,754,246,608,392
M6-A6-B1-C10,175,825,121,879
M5-A4-B6-C3,666,334,583,417
M6-A11-B3-C1,283,717,32,968
M10-A4-B1-C4,591,409,498,502
M9-A2-B3-C8,919,81,465,535
M13-A7-B2-C3,938,62,540,460
M8-A10-B6-C6,954,46,288,712
M11-A4-B5-C4,207,793,197,803
M2-A7-B10-C7,862,138,102,898
M9-A6-B9-C7,930,70,825,175
M2-A10-B10-C9,364,636,17,983
M3-A3-B11-C2,899,101,823,177
M6-A9-B3-C3,533,467,163,837
M5-A10-B4-C11,894,106,616,384
M12-A10-B8-C3,637,363,425,575
M5-A4-B11-C10,640,360,610,390
M1-A7-B3-C8,792,208,722,278
M1-A8-B4-C11,985,15,825,175
M9-A1-B9-C9,881,119,92,908
M8-A3-B5-C2,819,181,574,426
M9-A9-B9-C6,243,757,114,886
M6-A5-B6-C2,567,433,498,502
M4-A1-B6-C4,927,73,675,325
M3-A2-B2-C11,970,30,113,887
M13-A6-B10-C3,867,133,402,598
M5-A2-B6-C5,226,774,93,907
M9-A2-B1-C3,975,25,867,133
M3-A2-B7-C1,732,268,31,969
M12-A4-B9-C8,550,450,493,507
M4-A1-B4-C2,537,463,238,762
M6-A2-B1-C6,793,207,484,516
M2-A9-B2-C8,406,594,140,860
M2-A4-B4-C10,850,150,736,264
M11-A1-B3-C1,459,541,124,876
M5-A6-B10-C2,804,196,787,213
M12-A9-B9-C1,741,259,683,317
M4-A1-B8-C11,622,378,382,618
M2-A7-B4-C11,603,397,329,671
M10-A10-B7-C10,966,34,866,134
M10-A1-B9-C3,979,21,831,169
M11-A9-B3-C10,773,227,475,525
M4-A6-B9-C8,834,166,389,611
M4-A6-B3-C7,708,292,696,304
M4-A5-B10-C3,764,236,610,390
M9-A11-B3-C5,555,445,470,530
M2-A6-B10-C9,991,9,961,39
M11-A1-B11-C6,706,294,694,306
M13-A7-B4-C11,892,108,652,348
M4-A11-B2-C7,854,146,421,579
M11-A7-B7-C7,999,1,980,20
M5-A2-B3-C10,383,617,266,734
M3-A3-B2-C6,335,665,303,697
M10-A11-B9-C12,229,771,189,811
M7-A10-B9-C12,852,148,309,691
M10-A6-B6-C2,393,607,148,852
M11-A8-B5-C3,670,330,294,706
M5-A3-B6-C8,325,675,128,872
M6-A10-B6-C3,902,98,341,659
M6-A7-B3-C9,996,4,965,35
M2-A11-B2-C5,728,272,331,669
M8-A10-B10-C4,998,2,963,37
M11-A1-B10-C6,447,553,2,998
M6-A4-B11-C8,701,299,676,324
M7-A9-B3-C11,488,512,161,839
M12-A8-B1-C10,896,104,825,175
M3-A3-B6-C3,569,431,60,940
M13-A3-B6-C10,962,38,784,216
M9-A9-B9-C7,593,407,503,497
M11-A11-B9-C1,742,258,542,458
M7-A8-B10-C8,549,451,178,822
M2-A5-B3-C4,768,232,716,284
M10-A11-B9-C2,778,222,223,777
M7-A7-B1-C3,609,391,608,392
M10-A2-B1-C8,817,183,440,560
M6-A3-B8-C5,852,148,475,525
M7-A10-B10-C10,980,20,916,84
M8-A7-B7-C11,733,267,412,588
M7-A6-B7-C8,796,204,147,853
M11-A1-B3-C8,703,297,220,780
M10-A6-B4-C3,929,71,722,278
M13-A6-B11-C1,488,512,179,821
M12-A5-B5-C2,973,27,925,75
M13-A11-B11-C9,764,236,705,295
M13-A2-B1-C10,187,813,8,992
M11-A6-B8-C5,860,140,610,390
M4-A1-B1-C3,834,166,85,915
M2-A8-B6-C8,887,113,559,441
M12-A7-B2-C2,355,645,286,714
M2-A9-B10-C2,697,303,400,600
M10-A3-B2-C1,988,12,500,500
M1-A9-B4-C12,331,669,205,795
M10-A9-B8-C2,894,106,413,587
M13-A5-B2-C7,202,798,103,897
M3-A3-B7-C4,508,492,234,766
M4-A8-B8-C3,872,128,717,283
M2-A5-B5-C7,795,205,586,414
M13-A1-B9-C9,683,317,295,705
M2-A3-B8-C3,832,168,827,173
M4-A4-B7-C7,610,390,491,509
M1-A8-B2-C9,895,105,1,999
M13-A6-B7-C1,932,68,736,264
M10-A11-B10-C2,831,169,176,824
M1-A3-B2-C9,364,636,35,965
M3-A7-B8-C2,972,28,877,123
M13-A10-B9-C10,722,278,343,657
M5-A8-B8-C11,831,169,576,424
M3-A2-B6-C7,171,829,33,967
M3-A11-B2-C4,927,73,807,193
M3-A6-B2-C6,266,734,187,813
M8-A3-B8-C8,999,1,613,387
M3-A5-B8-C2,770,230,229,771
M8-A2-B3-C5,931,69,663,337
M9-A2-B2-C12,802,198,217,783
M9-A7-B9-C11,95,905,28,972
M11-A2-B10-C4,687,313,411,589
M5-A8-B11-C8,831,169,763,237
M2-A11-B9-C11,848,152,782,218
M8-A5-B6-C9,254,746,56,944
M5-A4-B1-C8,421,579,142,858
M2-A8-B7-C1,902,98,715,285
M4-A6-B8-C3,554,446,311,689
M13-A5-B10-C4,415,585,230,770
M8-A11-B10-C12,515,485,85,915
M5-A3-B10-C8,437,563,351,649
M12-A4-B4-C2,253,747,100,900
M6-A10-B10-C5,199,801,184,816
M4-A1-B8-C7,961,39,637,363
M4-A11-B5-C6,866,134,565,435
M4-A7-B11-C7,486,514,44,956
M3-A5-B4-C12,975,25,272,728
M2-A10-B2-C7,692,308,661,339
M8-A3-B10-C10,606,394,494,506
M6-A1-B10-C10,499,501,220,780
M13-A8-B8-C1,931,69,307,693
M12-A7-B6-C12,994,6,992,8
M6-A3-B4-C9,477,523,257,743
M7-A4-B2-C4,968,32,264,736
M5-A7-B10-C9,954,46,922,78
M8-A8-B8-C8,853,147,775,225
M7-A6-B9-C5,960,40,734,266
M7-A1-B10-C8,949,51,120,880
M8-A5-B11-C12,880,120,807,193
M3-A8-B7-C5,841,159,462,538
M4-A3-B2-C8,870,130,41,959
M12-A5-B10-C9,726,274,636,364
M1-A9-B6-C7,917,83,367,633
M13-A5-B5-C11,529,471,204,796
M1-A7-B10-C3,977,23,181,819
M13-A11-B1-C10,531,469,239,761
M11-A10-B1-C10,679,321,615,385
M5-A9-B4-C8,897,103,855,145
M1-A2-B6-C10,859,141,840,160
M11-A5-B10-C4,493,507,411,589
M11-A7-B5-C4,867,133,307,693
M2-A6-B5-C2,957,43,812,188
M2-A10-B6-C7,677,323,497,503
M11-A5-B7-C8,790,210,175,825
